(Не изменять) Опасность;(Не изменять) Контрольная сумма строки;(Не изменять) Дата изменения;name
bb2c090a-0626-e911-a97e-000d3a22ca8c;Gqtht3c/JJaLTQaiur56Y4mt/Rkp/WotW13e/1rtqtl0/nI68008h9NGMuZoXKxbc0FIPLaoNvwRPq5Xmk8wRw==;01.02.2019 09:45;Детонаторы 
bd2c090a-0626-e911-a97e-000d3a22ca8c;vpDBEoKu6xUkS50SjHwzSYWqXsiwvgx9v/KIOGfebNWkDXMJGsHBCSCO7XJzYU29tO6KCVPUM/f3fMjNaFBZfg==;01.02.2019 09:45;Дизельное топливо
bf2c090a-0626-e911-a97e-000d3a22ca8c;DEcWU5+5pBNxb7oKUYHzNwr+qkNhD01vVGAqcHOUcDsDeorzsYEaz5UJm7fZKqujRAiSIFwz5U5aCmYlbVDNRw==;14.05.2019 10:29;Диоксид серы (SO2)
c12c090a-0626-e911-a97e-000d3a22ca8c;tQpbQ/+L2uEKNBCh+/aEB191ZAjtZWhxgi+PL3tVTX+YsF8vq5Y9988jGR4k39F9c/OJnbpFgvekwypxuQUvtw==;01.02.2019 09:45;Другие токсичные жидкости
c32c090a-0626-e911-a97e-000d3a22ca8c;LoX0LmyHRNIRvs6VYy6xnAQY12sP4QytzjDGY8AMfeoMRtZCvmbnm9aPv8PwPa5uHMFBDLhQiR1bdWRyg2t9bg==;01.02.2019 09:45;Дым
25378305-2176-e911-a989-000d3a2bccc5;cO86Ntnl9XCWDc1oktzyGLTkusdj71KLaBSyoKxLim3VEjhT4zeEG5JkXZY/jLdzFcjRAzIE7vfbWY8+vp0jag==;14.05.2019 08:19;Железнодорожный транспорт
c52c090a-0626-e911-a97e-000d3a22ca8c;sgSeBhFpw2zpUObrOLee47n6Bj2baBw9nJmGFwvw4AfC1RnFKxb14QaiW6YLVPoVnnJu0xAsyhH7EA9WkZmX4w==;01.02.2019 09:45;Жидкости под давлением
c72c090a-0626-e911-a97e-000d3a22ca8c;dyh5BdE7upb2hRVtGLH3j1SWpm4pDN1uk7DPrx+BtCUciFMEWRUnwy2I/a42MLCrVJbSgUJiGXvDA3TpNpAN0w==;01.02.2019 09:45;Избыток азота (N2)
c92c090a-0626-e911-a97e-000d3a22ca8c;+58hhrEBihwAKAMUtRNAS98vZAflVkYjJmZq4gN8GVeHYt/tmqms2IcnDUbY2FgVL1rbBNNMBGfXpopdyhCCIA==;01.02.2019 09:45;Избыток углекислого газа (CO2)
cb2c090a-0626-e911-a97e-000d3a22ca8c;jip4xc3BJCqjLPTCuxTOlpBw4nYYyEAvN+owm1GzUHZNsKKLckzG4fKmBAB4T4Hv1BuL+/K/1pQzFMeXaaCRPw==;01.02.2019 09:45;Ингибиторы коррозии
cd2c090a-0626-e911-a97e-000d3a22ca8c;2ABxR6Cm6lt4h/foozCa01ph1RlJv+nOLBScPHs5Ptri+dl9ZeQKWMW3uka9i/9x34Yaj9aMQ8YHiZnOkxt1dQ==;01.02.2019 09:45;Ингибиторы накипи
cf2c090a-0626-e911-a97e-000d3a22ca8c;9CSS2NfjOyOhCD71dzb8uFIB/x/lvU9GoUbZJUyxFof6dPELEU/P5cUEztC4J3eQ062INCovxszvuceOAhSZhQ==;01.02.2019 09:45;Инсектициды 
d12c090a-0626-e911-a97e-000d3a22ca8c;vV+8TwE8oZT9eIlVIObjmwzY+N7IHHI9Mp7ryF/p2td6nonbs54UbYaajghRgFTaaixy+WSea4exm/++JJOjpQ==;01.02.2019 09:45;Инфракрасное излучение
d32c090a-0626-e911-a97e-000d3a22ca8c;G64F8EmhTZNELo9trfnsqFtvVKhOVM3RCFD58QpgZDfJvYgMN1S4eB3O5Pl3Ayig6qegxDUiPMkQ1FPWNMJduA==;01.02.2019 09:45;Использование ножей, ножниц и т.п.
d52c090a-0626-e911-a97e-000d3a22ca8c;/QPRJnzm7FsvV1frlUZlMh1WJtaKVWUliJo9AUyCz4hZnDb7TgkH0P/4deeVCNWuUNdJsfmeIDDPJeaRrTXCBg==;01.02.2019 09:45;Использование опасного ручного инструмента
d72c090a-0626-e911-a97e-000d3a22ca8c;Ps5AceUpwTF7FhcP4iO7w602nZa1q+z3EmE8W7mE+NWmTzuWdBeNMIiPeqKwMnpDWjOnhjZ1TEBttIgT16AQUw==;01.02.2019 09:45;Использование природных ресурсов (Вода)
d92c090a-0626-e911-a97e-000d3a22ca8c;vB9JGPInnuFdTETaYD9N1HCNMNV2xEENmnjGMt2PlQejL9BS/FzVPfgbvv21PkfE7OFviSR4eJMfuLF6vtDhBg==;01.02.2019 09:45;Использование природных ресурсов (Воздух)
db2c090a-0626-e911-a97e-000d3a22ca8c;XAQOSVmobtDWdG6apsqEKWg+sg2/fzKWpB+yWyF3BNnThKlGFJbEP45ixpBOFh8FfediPwZj5IUs/XW5/PkSOg==;01.02.2019 09:45;Использование природных ресурсов (Земля)
dd2c090a-0626-e911-a97e-000d3a22ca8c;oHBZZE4TnH6tUTHrJIolcQxZ/06S25M3aXt+WfDLX2s93nu5mKTbMT00QP4NJerR83nL1vLpy9Jx5GiO4qBLpA==;01.02.2019 09:45;Каустическая сода
df2c090a-0626-e911-a97e-000d3a22ca8c;IM3iQDe/qwtu+nnALPaja48TepFVaUs6+/Wsz/PfO0kSLPV/LFuqt94G/AUEF1dJhdk0YDVzQpsnGymmkrdqAQ==;01.02.2019 09:45;Конденсат, газоконденсатные жидкости
e12c090a-0626-e911-a97e-000d3a22ca8c;En3Csd7CMCT1DGw9fafojgw8fBdTBdlOh3Azo0Psy7QP/xswGPmud+U119EH5rN+TV1R2OM783/ETt4/91HVAA==;01.02.2019 09:45;Кражи или хищения имущества
e32c090a-0626-e911-a97e-000d3a22ca8c;fGoKrbli4JfGHxXEjBq6Z8m/LWyERdc4hfQ2EfJk0zRodj554Nn6KntJfYnWjpzlUj5UvYJli1d9dXg+xXShYA==;14.05.2019 10:35;Кризис (военный, гражданский, терроризм)
e52c090a-0626-e911-a97e-000d3a22ca8c;KPFE/wc74T2n8LlE9vjvGWMvw+piXTNrohegrgF2PtZ9aRQOyuSDBogzvkI8kVXBhNvwR/xYoG0gt5Przh6f7Q==;01.02.2019 09:45;Крупные животные
e72c090a-0626-e911-a97e-000d3a22ca8c;wIJhh+HFNtaVVBBpFZlvadU77OQaya7spAktbTpPfPis8JNfNPWZ8n+z+U98RkECVy4bdEQlIuYSTP7DNe2pXA==;01.02.2019 09:45;Ксилол 
e92c090a-0626-e911-a97e-000d3a22ca8c;ZqvgukJIVLUF9LsaVL2V5njTUtCcHeD2m/99zCRYrajr0waP0Dijvo7sMCPb/WMbH5OI8/ZSnVWkrO4oXap07A==;01.02.2019 09:45;Лазеры 
eb2c090a-0626-e911-a97e-000d3a22ca8c;2a6EwR0STxp+k0HJrU/1W8ruift+/glbp/ITkrtvMa36L/zRUPVuylvH12MAXF4qk84a63uuKP9Cem2PsT/81Q==;01.02.2019 09:45;Легковоспламеняющая сухая растительность
ed2c090a-0626-e911-a97e-000d3a22ca8c;UXELwtMlWZEL0Ce/msWI+iuAhSKq50oLBxwnKV/wiwzjX1Y6Uvjod/P6wqV0hIeWfgqP4dEpEZ7Mef1S1efmTQ==;01.02.2019 09:45;Легковоспламеняющиеся пирофорные материалы
ef2c090a-0626-e911-a97e-000d3a22ca8c;QHhCgm7ihHlJWEG5XT/mpibuZ61xXrOSrcT3DFDIgJgg4r+2Gr5odF7dKWe0/jYDAItHr3Tt1PS0pa7yISMMtw==;01.02.2019 09:45;Легковоспламеняющиеся продукты целлюлозы
f12c090a-0626-e911-a97e-000d3a22ca8c;zCXgWjA8RuNfTjBwz5QlWNLG4j/9A3eC8WFJuXFQyfzUkIJI62VnPKmBw/Rx4BgyfN0+Ys/RZVatJokWNT1ldw==;01.02.2019 09:45;Лекарства, отпускаемые без рецепта
f32c090a-0626-e911-a97e-000d3a22ca8c;OposBEhoMO2vs3YtqiWjZvSH01r53OGKuTzz11N3Lhx0YAdX/MBcKdly1MWXnVwVU9m8Q8bJXbqqaYWiKF8D4g==;01.02.2019 09:45;Машинное и уплотнительное масло
f52c090a-0626-e911-a97e-000d3a22ca8c;JK37Wp1dkLZkMud1Us5HKDMcDq6ufgbBMZ8aMDBjpse1/ycOqJdcbj2db4sMn9xcrBHkx1F1BPZCCg7dTH1/Aw==;01.02.2019 09:45;Мелкие животные
f72c090a-0626-e911-a97e-000d3a22ca8c;eP/elEQTwFfHYSWkkMxqPBEhZ7+kgzX8XVTRmPFD7VxEzknlo2l1ro6cAIsRrCJNkFGYSgstrePdLkq6CAO2Sw==;01.02.2019 09:45;Метанол 
f92c090a-0626-e911-a97e-000d3a22ca8c;ljNaQwk9m2f8UcJkQ10y29Er+OuvL3bkxysgKZUAmKR7srYPdMwfLACxiLjtH/MsF6GqSLlzsy9JKtnSgPd8Dw==;01.02.2019 09:45;Микроклимат помещений
